prey_max_transfer,prey_energy_reproduce,predator_energy_transfer,predator_energy_reproduce,nb_preys,nb_predators
0.35,0.5166666666666666,0.4,0.4,0,0
0.05,0.5166666666666666,1.0,1.0,1,0
0.35,0.5166666666666666,1.0,1.0,96,6
0.35,0.5166666666666666,1.0,1.0,145,2
0.35,0.05,0.4,0.4,0,0
0.35,0.05,0.4,0.4,141,0
0.2,0.2833333333333333,1.0,0.1,0,0
0.2,0.2833333333333333,1.0,0.1,149,0
0.2,0.75,0.4,0.7,154,0
0.35,0.5166666666666666,1.0,0.4,130,0
0.5,0.2833333333333333,1.0,0.1,141,0
0.2,0.2833333333333333,0.4,0.7,27,9
0.2,0.2833333333333333,1.0,0.7,164,0
0.2,0.2833333333333333,1.0,0.7,47,19
0.05,0.05,0.7,0.7,0,0
0.2,0.2833333333333333,0.4,0.1,139,0
0.35,0.5166666666666666,0.7,0.1,158,0
0.05,0.5166666666666666,0.7,0.7,0,0
0.5,0.75,1.0,0.7,138,0
0.5,0.2833333333333333,1.0,0.7,121,0
0.35,0.5166666666666666,0.7,0.7,20,11
0.05,0.05,0.1,0.7,108,0
0.05,0.05,0.7,0.4,0,0
0.2,0.05,1.0,1.0,131,5
0.35,0.05,0.7,0.4,0,0
0.35,0.5166666666666666,0.7,0.4,0,0
0.2,0.05,0.4,1.0,174,0
0.5,0.05,0.4,1.0,122,0
0.5,0.5166666666666666,0.4,1.0,80,7
0.5,0.5166666666666666,0.4,0.4,154,0
0.35,0.5166666666666666,0.7,1.0,140,2
0.35,0.5166666666666666,0.1,1.0,171,1
0.35,0.2833333333333333,0.1,0.7,94,3
0.35,0.2833333333333333,0.1,0.1,150,0
0.05,0.75,0.1,0.1,8,0
0.35,0.75,0.1,0.1,138,0
0.05,0.75,0.7,0.1,0,0
0.2,0.75,0.7,1.0,139,1
0.5,0.75,0.7,1.0,18,9
0.2,0.2833333333333333,0.7,1.0,134,0
0.2,0.2833333333333333,0.7,0.4,0,0
0.2,0.2833333333333333,0.1,0.4,143,0
0.2,0.05,0.7,1.0,150,6
0.5,0.05,0.7,1.0,160,0
0.5,0.05,0.1,1.0,139,0
0.5,0.05,0.1,0.4,143,0
0.5,0.5166666666666666,0.1,0.4,156,0
0.05,0.05,0.4,0.4,22,0
0.35,0.05,1.0,1.0,0,0
0.35,0.05,0.4,1.0,52,12
