int(self),prey_max_transfer,prey_energy_reproduce,predator_energy_transfer,predator_energy_reproduce,self.nb_predators,self.nb_preys
0,0.2,0.5,0.8,0.2,7,41
1,0.2,0.5,0.8,0.2,0,4
2,0.15,0.5,0.8,0.2,0,15
3,0.15,0.5,0.8,0.2,2,8
4,0.25,0.5,0.8,0.2,0,3
5,0.25,0.5,0.8,0.2,0,0
6,0.2,0.45,0.8,0.2,0,6
7,0.2,0.45,0.8,0.2,0,145
8,0.2,0.55,0.8,0.2,1,168
9,0.2,0.55,0.8,0.2,1,57
10,0.2,0.5,0.7,0.2,3,31
11,0.2,0.5,0.7,0.2,3,3
12,0.2,0.5,0.9,0.2,3,18
13,0.2,0.5,0.9,0.2,0,0
14,0.2,0.5,0.8,0.1,3,15
15,0.2,0.5,0.8,0.1,0,0
16,0.2,0.5,0.8,0.3,2,2
17,0.2,0.5,0.8,0.3,0,1
18,0.15,0.5,0.8,0.3,1,26
19,0.15,0.5,0.8,0.3,1,44
20,0.25,0.5,0.8,0.3,0,4
21,0.25,0.5,0.8,0.3,0,52
22,0.2,0.45,0.8,0.3,2,10
23,0.2,0.45,0.8,0.3,0,4
24,0.2,0.55,0.8,0.3,1,55
25,0.2,0.55,0.8,0.3,4,52
26,0.2,0.5,0.7,0.3,0,5
27,0.2,0.5,0.7,0.3,0,0
28,0.2,0.5,0.9,0.3,2,19
29,0.2,0.5,0.9,0.3,0,0
30,0.2,0.5,0.8,0.4,9,12
31,0.2,0.5,0.8,0.4,3,40
32,0.15,0.5,0.8,0.4,0,43
33,0.15,0.5,0.8,0.4,0,12
34,0.25,0.5,0.8,0.4,1,13
35,0.25,0.5,0.8,0.4,5,48
36,0.2,0.45,0.8,0.4,2,17
37,0.2,0.45,0.8,0.4,0,1
38,0.2,0.55,0.8,0.4,3,1
39,0.2,0.55,0.8,0.4,1,19
40,0.2,0.5,0.7,0.4,0,54
41,0.2,0.5,0.7,0.4,0,105
42,0.2,0.5,0.9,0.4,7,20
43,0.2,0.5,0.9,0.4,0,19
44,0.2,0.5,0.8,0.5,0,24
45,0.2,0.5,0.8,0.5,0,3
46,0.15,0.5,0.8,0.5,0,40
47,0.15,0.5,0.8,0.5,0,1
48,0.25,0.5,0.8,0.5,3,3
49,0.25,0.5,0.8,0.5,1,50
50,0.2,0.45,0.8,0.5,0,4
51,0.2,0.45,0.8,0.5,0,1
52,0.2,0.55,0.8,0.5,1,1
53,0.2,0.55,0.8,0.5,1,37
54,0.2,0.5,0.7,0.5,1,13
55,0.2,0.5,0.7,0.5,3,9
56,0.2,0.5,0.9,0.5,1,10
57,0.2,0.5,0.9,0.5,0,3
58,0.2,0.5,0.8,0.6,5,20
59,0.2,0.5,0.8,0.6,0,48
60,0.15,0.5,0.8,0.6,2,20
61,0.15,0.5,0.8,0.6,2,38
62,0.25,0.5,0.8,0.6,5,32
63,0.25,0.5,0.8,0.6,0,0
64,0.2,0.45,0.8,0.6,0,17
65,0.2,0.45,0.8,0.6,0,1
66,0.2,0.55,0.8,0.6,0,42
67,0.2,0.55,0.8,0.6,0,0
68,0.2,0.5,0.7,0.6,1,41
69,0.2,0.5,0.7,0.6,9,22
70,0.2,0.5,0.9,0.6,0,35
71,0.2,0.5,0.9,0.6,0,57
72,0.2,0.5,0.8,0.7,3,92
73,0.2,0.5,0.8,0.7,0,123
