nb_agents,nb_infected_init,infection_rate,infection_distance,recovery_time,nb_recovered
88,38,0.33571435799388755,1,64,38
165,23,0.7717922960909971,6,115,75
298,2,0.14575639552915676,7,84,215
233,29,0.8839582633795229,16,39,233
435,48,0.28830510317113356,18,137,435
374,16,0.5176875555424162,12,197,374
88,23,0.7717922960909971,6,115,35
88,2,0.14575639552915676,7,84,4
88,29,0.8839582633795229,16,39,88
88,48,0.28830510317113356,18,137,87
165,38,0.33571435799388755,1,64,41
165,2,0.14575639552915676,7,84,11
165,29,0.8839582633795229,16,39,165
165,48,0.28830510317113356,18,137,165
298,38,0.33571435799388755,1,64,41
298,23,0.7717922960909971,6,115,213
298,29,0.8839582633795229,16,39,298
298,48,0.28830510317113356,18,137,298
233,38,0.33571435799388755,1,64,39
233,23,0.7717922960909971,6,115,95
233,2,0.14575639552915676,7,84,7
233,48,0.28830510317113356,18,137,233
435,38,0.33571435799388755,1,64,47
435,23,0.7717922960909971,6,115,416
435,2,0.14575639552915676,7,84,423
435,29,0.8839582633795229,16,39,435
374,38,0.33571435799388755,1,64,41
374,23,0.7717922960909971,6,115,326
374,2,0.14575639552915676,7,84,351
374,29,0.8839582633795229,16,39,374
165,38,0.7717922960909971,6,115,105
298,38,0.14575639552915676,7,84,274
233,38,0.8839582633795229,16,39,233
435,38,0.28830510317113356,18,137,435
88,23,0.33571435799388755,1,64,23
298,23,0.14575639552915676,7,84,255
233,23,0.8839582633795229,16,39,233
435,23,0.28830510317113356,18,137,435
88,2,0.33571435799388755,1,64,2
165,2,0.7717922960909971,6,115,10
233,2,0.8839582633795229,16,39,233
435,2,0.28830510317113356,18,137,435
88,29,0.33571435799388755,1,64,29
165,29,0.7717922960909971,6,115,79
298,29,0.14575639552915676,7,84,264
435,29,0.28830510317113356,18,137,435
88,48,0.33571435799388755,1,64,48
165,48,0.7717922960909971,6,115,109
298,48,0.14575639552915676,7,84,283
233,48,0.8839582633795229,16,39,232
88,16,0.33571435799388755,1,64,16
165,16,0.7717922960909971,6,115,58
298,16,0.14575639552915676,7,84,230
233,16,0.8839582633795229,16,39,233
165,23,0.33571435799388755,6,115,76
298,2,0.33571435799388755,7,84,94
233,29,0.33571435799388755,16,39,233
435,48,0.33571435799388755,18,137,435
88,38,0.7717922960909971,1,64,38
298,2,0.7717922960909971,7,84,77
233,29,0.7717922960909971,16,39,233
435,48,0.7717922960909971,18,137,435
88,38,0.14575639552915676,1,64,39
165,23,0.14575639552915676,6,115,75
233,29,0.14575639552915676,16,39,233
435,48,0.14575639552915676,18,137,435
88,38,0.8839582633795229,1,64,39
165,23,0.8839582633795229,6,115,77
298,2,0.8839582633795229,7,84,252
435,48,0.8839582633795229,18,137,435
88,38,0.28830510317113356,1,64,39
165,23,0.28830510317113356,6,115,88
298,2,0.28830510317113356,7,84,62
233,29,0.28830510317113356,16,39,233
88,38,0.5176875555424162,1,64,38
165,23,0.5176875555424162,6,115,90
298,2,0.5176875555424162,7,84,74
233,29,0.5176875555424162,16,39,233
165,23,0.7717922960909971,1,115,27
298,2,0.14575639552915676,1,84,2
233,29,0.8839582633795229,1,39,33
435,48,0.28830510317113356,1,137,54
88,38,0.33571435799388755,6,64,62
298,2,0.14575639552915676,6,84,91
233,29,0.8839582633795229,6,39,167
435,48,0.28830510317113356,6,137,423
88,38,0.33571435799388755,7,64,68
165,23,0.7717922960909971,7,115,102
233,29,0.8839582633795229,7,39,186
435,48,0.28830510317113356,7,137,434
88,38,0.33571435799388755,16,64,87
165,23,0.7717922960909971,16,115,165
298,2,0.14575639552915676,16,84,298
435,48,0.28830510317113356,16,137,435
88,38,0.33571435799388755,18,64,87
165,23,0.7717922960909971,18,115,165
298,2,0.14575639552915676,18,84,298
233,29,0.8839582633795229,18,39,233
88,38,0.33571435799388755,12,64,88
165,23,0.7717922960909971,12,115,164
298,2,0.14575639552915676,12,84,298
233,29,0.8839582633795229,12,39,233
165,23,0.7717922960909971,6,64,62
298,2,0.14575639552915676,7,64,105
233,29,0.8839582633795229,16,64,233
435,48,0.28830510317113356,18,64,435
88,38,0.33571435799388755,1,115,38
298,2,0.14575639552915676,7,115,139
233,29,0.8839582633795229,16,115,233
435,48,0.28830510317113356,18,115,435
88,38,0.33571435799388755,1,84,39
165,23,0.7717922960909971,6,84,74
233,29,0.8839582633795229,16,84,233
435,48,0.28830510317113356,18,84,435
88,38,0.33571435799388755,1,39,40
165,23,0.7717922960909971,6,39,74
298,2,0.14575639552915676,7,39,207
435,48,0.28830510317113356,18,39,435
88,38,0.33571435799388755,1,137,40
165,23,0.7717922960909971,6,137,85
298,2,0.14575639552915676,7,137,259
233,29,0.8839582633795229,16,137,233
88,38,0.33571435799388755,1,197,38
165,23,0.7717922960909971,6,197,64
298,2,0.14575639552915676,7,197,39
233,29,0.8839582633795229,16,197,233
