nb_agents,nb_infected_init,infection_rate,infection_distance,recovery_time,nb_recovered
200,34,0.4444444444444444,14,73,200
450,34,0.4444444444444444,14,73,450
450,34,1.0,14,73,450
450,34,1.0,14,179,450
450,34,1.0,3,179,450
450,6,1.0,3,179,450
100,17,0.8888888888888888,3,116,85
100,45,0.8888888888888888,3,116,92
100,45,0.8888888888888888,3,10,65
100,45,0.8888888888888888,14,10,100
350,45,0.8888888888888888,14,10,350
350,45,0.3333333333333333,14,10,350
400,1,0.5555555555555556,18,116,400
150,1,0.5555555555555556,18,116,150
150,1,0.0,18,116,1
150,28,0.0,18,116,28
150,28,0.0,7,116,28
150,28,0.0,7,10,28
150,17,0.1111111111111111,20,200,150
400,17,0.1111111111111111,20,200,400
400,17,0.6666666666666667,20,200,400
400,45,0.6666666666666667,20,200,400
400,45,0.6666666666666667,20,94,400
400,45,0.6666666666666667,9,94,400
400,6,0.4444444444444444,3,116,400
400,34,0.4444444444444444,3,116,400
400,34,1.0,3,116,400
400,34,1.0,14,116,400
150,34,1.0,14,116,150
150,34,1.0,14,10,150
400,28,0.1111111111111111,18,52,400
400,28,0.1111111111111111,18,158,400
400,28,0.6666666666666667,18,158,400
400,28,0.6666666666666667,7,158,400
400,1,0.6666666666666667,7,158,400
150,1,0.6666666666666667,7,158,150
250,28,0.2222222222222222,7,31,245
250,1,0.2222222222222222,7,31,240
500,1,0.2222222222222222,7,31,500
500,1,0.7777777777777778,7,31,500
500,1,0.7777777777777778,18,31,500
500,1,0.7777777777777778,18,137,500
50,17,0.1111111111111111,14,116,50
300,17,0.1111111111111111,14,116,300
300,17,0.1111111111111111,3,116,276
300,17,0.6666666666666667,3,116,300
300,45,0.6666666666666667,3,116,299
300,45,0.6666666666666667,3,10,158
350,39,0.4444444444444444,20,116,350
350,39,1.0,20,116,350
350,39,1.0,9,116,350
350,39,1.0,9,10,347
350,12,1.0,9,10,349
100,12,1.0,9,10,76
250,23,0.0,18,52,23
250,23,0.0,18,158,23
500,23,0.0,18,158,23
500,23,0.0,7,158,23
500,50,0.0,7,158,50
500,50,0.5555555555555556,7,158,500
