nb_agents,nb_infected_init,infection_rate,infection_distance,recovery_time,nb_recovered
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
298,48,0.15,12,38,298
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
343,43,0.55,10,153,343
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
207,3,0.05,14,57,207
72,28,0.45,4,76,46
72,28,0.45,4,76,54
72,28,0.45,4,76,57
72,28,0.45,4,76,54
72,28,0.45,4,76,53
72,28,0.45,4,76,47
72,28,0.45,4,76,59
72,28,0.45,4,76,51
72,28,0.45,4,76,50
72,28,0.45,4,76,51
72,28,0.45,4,76,55
72,28,0.45,4,76,59
72,28,0.45,4,76,55
72,28,0.45,4,76,56
72,28,0.45,4,76,55
72,28,0.45,4,76,55
72,28,0.45,4,76,56
72,28,0.45,4,76,56
